rank,combination,n_interior,total_knots,theta_dim,seed,fitness,phi,export_date
148,5_4_1_2_3,"[5, 4, 1, 2, 3]",21,43,1,3.24303278,5.872414258575902e-9,2026-06-20T03:28:06.811
149,3_4_1_5_3,"[3, 4, 1, 5, 3]",22,45,1,3.24303887,5.9314330030620284e-9,2026-06-20T07:07:33.178
150,2_2_4_1_3,"[2, 2, 4, 1, 3]",18,37,1,3.24308239,5.831450897795513e-9,2026-06-20T02:44:57.605
151,4_5_1_2_1,"[4, 5, 1, 2, 1]",19,39,1,3.24313786,5.919581992017293e-9,2026-06-19T15:01:23.229
152,3_2_1_3_4,"[3, 2, 1, 3, 4]",19,39,1,3.24315316,5.9671285807267275e-9,2026-06-20T10:45:17.841
153,4_4_1_4_3,"[4, 4, 1, 4, 3]",22,45,1,3.24340955,5.973098693866522e-9,2026-06-20T05:56:35.924
154,5_3_4_4_3,"[5, 3, 4, 4, 3]",25,51,1,3.24344926,5.890057953661489e-9,2026-06-20T06:37:08.995
155,5_4_3_3_2,"[5, 4, 3, 3, 2]",23,47,1,3.24370011,6.003038975664783e-9,2026-06-19T22:54:25.697
156,2_2_1_2_5,"[2, 2, 1, 2, 5]",18,37,1,3.24371336,5.9671285807267275e-9,2026-06-21T14:37:28.007
157,5_5_4_2_4,"[5, 5, 4, 2, 4]",26,53,1,3.2437885,5.860681167061301e-9,2026-06-20T10:27:37.476
158,1_2_5_1_4,"[1, 2, 5, 1, 4]",19,39,1,3.24397293,5.9018498575420515e-9,2026-06-20T09:17:11.563
159,3_2_2_4_3,"[3, 2, 2, 4, 3]",20,41,1,3.24403397,5.961164434716032e-9,2026-06-20T06:02:59.609
160,4_4_1_2_4,"[4, 4, 1, 2, 4]",21,43,1,3.24408071,5.9077546593084175e-9,2026-06-20T09:37:42.707
161,3_2_4_4_3,"[3, 2, 4, 4, 3]",22,45,1,3.24411295,5.895950957626036e-9,2026-06-20T06:30:08.970
162,3_4_1_1_5,"[3, 4, 1, 1, 5]",20,41,1,3.24424448,5.925504534787157e-9,2026-06-21T13:36:49.622
163,4_2_3_5_5,"[4, 2, 3, 5, 5]",25,51,1,3.24444584,5.99104489579136e-9,2026-06-21T18:46:27.083
164,5_3_3_4_5,"[5, 3, 3, 4, 5]",26,53,1,3.24456126,5.973098693866522e-9,2026-06-21T17:39:53.497
165,5_3_3_4_4,"[5, 3, 3, 4, 4]",25,51,1,3.24464061,5.925504534787157e-9,2026-06-20T12:37:40.030
166,3_2_2_2_1,"[3, 2, 2, 2, 1]",16,33,1,3.24466844,5.9850568454197515e-9,2026-06-19T15:18:57.600
167,4_4_1_4_4,"[4, 4, 1, 4, 4]",23,47,1,3.24475759,5.9314330030620284e-9,2026-06-20T12:03:24.677
168,3_3_5_5_2,"[3, 3, 5, 5, 2]",24,49,1,3.24493273,6.027099219975755e-9,2026-06-20T01:52:28.880
169,5_1_4_2_5,"[5, 1, 4, 2, 5]",23,47,1,3.24513206,5.9077546593084175e-9,2026-06-21T15:19:40.882
170,2_4_5_5_5,"[2, 4, 5, 5, 5]",27,55,1,3.24531409,5.9314330030620284e-9,2026-06-21T19:16:55.954
171,4_5_5_2_1,"[4, 5, 5, 2, 1]",23,47,1,3.2454827,5.9314330030620284e-9,2026-06-19T16:01:11.990
172,5_5_5_3_4,"[5, 5, 5, 3, 4]",28,57,1,3.24551282,5.955206249870247e-9,2026-06-20T11:56:26.307
173,1_4_5_2_3,"[1, 4, 5, 2, 3]",21,43,1,3.24553518,5.848971518279162e-9,2026-06-20T04:24:07.112
174,3_2_4_1_1,"[3, 2, 4, 1, 1]",17,35,1,3.24555854,5.913665368829914e-9,2026-06-19T14:25:07.980
175,4_5_1_1_4,"[4, 5, 1, 1, 4]",21,43,1,3.24556231,5.890057953661489e-9,2026-06-20T08:26:42.866
176,2_2_1_1_1,"[2, 2, 1, 1, 1]",13,27,1,3.2456313,5.949254020231208e-9,2026-06-19T13:56:59.555
177,4_5_3_4_5,"[4, 5, 3, 4, 5]",27,55,1,3.2457003,5.9433077398467066e-9,2026-06-21T17:43:36.697
178,2_5_5_3_4,"[2, 5, 5, 3, 4]",25,51,1,3.24571978,5.890057953661489e-9,2026-06-20T11:49:06.258
179,5_5_5_3_3,"[5, 5, 5, 3, 3]",27,55,1,3.2458047,5.961164434716032e-9,2026-06-20T05:44:14.524
180,3_4_3_2_5,"[3, 4, 3, 2, 5]",23,47,1,3.24590343,6.003038975664783e-9,2026-06-21T15:14:39.437
181,5_4_2_3_3,"[5, 4, 2, 3, 3]",23,47,1,3.24591137,6.003038975664783e-9,2026-06-20T04:57:26.388
182,3_5_1_3_1,"[3, 5, 1, 3, 1]",19,39,1,3.24592935,5.919581992017293e-9,2026-06-19T16:16:58.735
183,3_4_3_2_4,"[3, 4, 3, 2, 4]",22,45,1,3.24599251,5.949254020231208e-9,2026-06-20T10:02:07.207
184,5_5_5_5_4,"[5, 5, 5, 5, 4]",30,61,1,3.24604035,5.9018498575420515e-9,2026-06-20T14:30:42.105
185,4_4_3_1_5,"[4, 4, 3, 1, 5]",23,47,1,3.24615853,5.979074780105508e-9,2026-06-21T14:03:23.650
186,2_3_1_3_4,"[2, 3, 1, 3, 4]",19,39,1,3.24617073,5.937367402770419e-9,2026-06-20T10:49:59.389
187,3_2_1_4_4,"[3, 2, 1, 4, 4]",20,41,1,3.2462178,5.884170839755366e-9,2026-06-20T11:58:34.649
188,1_5_3_2_4,"[1, 5, 3, 2, 4]",21,43,1,3.24626453,5.878289610020574e-9,2026-06-20T10:07:17.202
189,3_2_4_2_4,"[3, 2, 4, 2, 4]",21,43,1,3.2465672,5.925504534787157e-9,2026-06-20T10:16:35.600
190,2_2_1_2_3,"[2, 2, 1, 2, 3]",16,33,1,3.2466049,5.913665368829914e-9,2026-06-20T03:14:53.238
191,1_1_5_1_3,"[1, 1, 5, 1, 3]",17,35,1,3.24673772,5.872414258575902e-9,2026-06-20T02:51:20.858
192,5_3_1_3_4,"[5, 3, 1, 3, 4]",22,45,1,3.24696238,5.961164434716032e-9,2026-06-20T10:48:33.410
193,5_4_2_5_4,"[5, 4, 2, 5, 4]",26,53,1,3.24709767,5.925504534787157e-9,2026-06-20T13:34:58.023
194,3_5_5_3_3,"[3, 5, 5, 3, 3]",25,51,1,3.24713441,5.919581992017293e-9,2026-06-20T05:42:00.545
195,1_2_4_1_5,"[1, 2, 4, 1, 5]",19,39,1,3.24723958,5.9018498575420515e-9,2026-06-21T14:08:52.004
196,5_2_4_3_3,"[5, 2, 4, 3, 3]",23,47,1,3.24739116,5.937367402770419e-9,2026-06-20T05:20:07.767
197,4_4_3_1_3,"[4, 4, 3, 1, 3]",21,43,1,3.24747222,5.878289610020574e-9,2026-06-20T02:41:29.927
198,1_5_1_1_4,"[1, 5, 1, 1, 4]",18,37,1,3.24749151,5.979074780105508e-9,2026-06-20T08:27:03.578
199,3_4_1_3_4,"[3, 4, 1, 3, 4]",21,43,1,3.24749971,5.9433077398467066e-9,2026-06-20T10:53:03.081
200,3_1_4_2_4,"[3, 1, 4, 2, 4]",20,41,1,3.24752207,5.919581992017293e-9,2026-06-20T10:15:47.493
201,2_2_3_5_5,"[2, 2, 3, 5, 5]",23,47,1,3.24754463,5.925504534787157e-9,2026-06-21T18:44:48.530
202,5_3_4_3_5,"[5, 3, 4, 3, 5]",26,53,1,3.24775284,5.99104489579136e-9,2026-06-21T16:39:53
203,3_3_4_4_3,"[3, 3, 4, 4, 3]",23,47,1,3.24786749,5.9433077398467066e-9,2026-06-20T06:35:57.185
204,1_3_5_3_5,"[1, 3, 5, 3, 5]",23,47,1,3.24790683,5.9314330030620284e-9,2026-06-21T16:42:38.059
205,3_2_2_5_4,"[3, 2, 2, 5, 4]",22,45,1,3.24790749,5.955206249870247e-9,2026-06-20T13:30:07.256
206,4_1_5_1_4,"[4, 1, 5, 1, 4]",21,43,1,3.24795226,5.9850568454197515e-9,2026-06-20T09:16:48.546
